TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
58,0.81226,0.276,0.492,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.08653352454589212, 'subsample': 0.949707229722269, 'colsample_bytree': 0.8978113749640452, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
59,0.81353,0.212,0.508,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.058335640182514296, 'subsample': 0.9184869497283562, 'colsample_bytree': 0.955791811432098, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
60,0.81353,0.001,0.507,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.05981669202668736, 'subsample': 0.9169855064731238, 'colsample_bytree': 0.9666315995865895, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
61,0.81341,0.004,0.507,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.06059253576059392, 'subsample': 0.9151385324028574, 'colsample_bytree': 0.9692915909985137, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
62,0.81353,0.006,0.507,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.060366112915230384, 'subsample': 0.9190840825813924, 'colsample_bytree': 0.9722198828847827, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
63,0.81410,0.032,0.508,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.05995039105547914, 'subsample': 0.916540410368421, 'colsample_bytree': 0.97238324761768, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
64,0.81353,0.008,0.511,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.06272008547632697, 'subsample': 0.9157912009995066, 'colsample_bytree': 0.9759550596708555, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
65,0.81261,0.035,0.508,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.060705426055356206, 'subsample': 0.8875704951948242, 'colsample_bytree': 0.9978241351658504, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
66,0.81019,0.032,0.465,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.0628988325318158, 'subsample': 0.9177167326044796, 'colsample_bytree': 0.9804216178742857, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
67,0.81341,0.057,0.517,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.07824897939581225, 'subsample': 0.8665874968493565, 'colsample_bytree': 0.9648946767982791, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
68,0.81123,0.139,0.471,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.0586783144733357, 'subsample': 0.8854474957841304, 'colsample_bytree': 0.9844167205859646, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
69,0.81261,0.089,0.487,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.051783520626220395, 'subsample': 0.9294782190172107, 'colsample_bytree': 0.9501296328120046, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
70,0.81261,0.005,0.510,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.06718054574774332, 'subsample': 0.9068504582528022, 'colsample_bytree': 0.9218250427580276, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
71,0.81295,0.000,0.509,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.06226411139803632, 'subsample': 0.9267896935342063, 'colsample_bytree': 0.9655874957552492, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
72,0.81422,0.042,0.503,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.057644050355574475, 'subsample': 0.8939961462489225, 'colsample_bytree': 0.9674408100617421, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
73,0.81307,0.112,0.493,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.057108454546885984, 'subsample': 0.8663739805468057, 'colsample_bytree': 0.9523229843809408, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
74,0.81410,0.053,0.522,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06685404326970627, 'subsample': 0.8918466691040428, 'colsample_bytree': 0.985890517981822, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
75,0.81387,0.057,0.525,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08031761449125951, 'subsample': 0.8946857233220002, 'colsample_bytree': 0.9861208053458229, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
76,0.81146,0.063,0.540,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09733617311094551, 'subsample': 0.8924872641017969, 'colsample_bytree': 0.9901793542525523, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
77,0.81203,0.147,0.524,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06972452644803682, 'subsample': 0.8176593064363088, 'colsample_bytree': 0.9374379497218958, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
78,0.80824,0.045,0.558,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08262698187018507, 'subsample': 0.8502995589809589, 'colsample_bytree': 0.9593538056030038, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
79,0.81123,0.095,0.458,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.06578278398819043, 'subsample': 0.8965825321561607, 'colsample_bytree': 0.9994200905950045, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
80,0.81019,0.036,0.474,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07955862751630517, 'subsample': 0.8809559830662687, 'colsample_bytree': 0.9762483337931981, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
81,0.81376,0.083,0.516,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.011138957432293524, 'subsample': 0.9126883637504403, 'colsample_bytree': 0.9758982995771152, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
82,0.81410,0.067,0.518,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09077383264086683, 'subsample': 0.9067863540322626, 'colsample_bytree': 0.9876747007792419, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
83,0.81387,0.078,0.519,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09195812157656798, 'subsample': 0.8745613194928378, 'colsample_bytree': 0.9901156301174421, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
84,0.81272,0.116,0.523,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.011039638339662972, 'subsample': 0.8706155170633432, 'colsample_bytree': 0.9887408414378711, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
85,0.81468,0.160,0.517,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09066431899321757, 'subsample': 0.905627889155996, 'colsample_bytree': 0.9427241101311926, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
86,0.81169,0.156,0.546,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09182176345046972, 'subsample': 0.8612533025926948, 'colsample_bytree': 0.9863458450828015, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
87,0.81364,0.074,0.517,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09995520700762289, 'subsample': 0.9055872542390813, 'colsample_bytree': 0.9237438473110869, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
88,0.81422,0.093,0.529,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08749531860713093, 'subsample': 0.8777405028136632, 'colsample_bytree': 0.941250447955041, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
89,0.81134,0.116,0.551,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09440319018630772, 'subsample': 0.7952306295382168, 'colsample_bytree': 0.9447249479106661, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
90,0.81272,0.168,0.530,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08783215509005839, 'subsample': 0.8778869395555529, 'colsample_bytree': 0.8587473368718903, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
91,0.81330,0.090,0.516,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.08153744915512559, 'subsample': 0.8482426083561324, 'colsample_bytree': 0.9941517115224693, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
92,0.81180,0.037,0.540,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.09029679869954804, 'subsample': 0.8963820722764849, 'colsample_bytree': 0.9803774697537923, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
93,0.81261,0.074,0.489,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07712736598582944, 'subsample': 0.8403457073554222, 'colsample_bytree': 0.9604078456566301, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
94,0.81376,0.153,0.523,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.0850095293233774, 'subsample': 0.8824510860994322, 'colsample_bytree': 0.9329995213319012, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
